Field Category/String,Field Title,Admin Roles,Content Roles,End Users,From Mukurtu
entity_browser.browser.mukurtu_community_and_protocol_user_browser:labelUser Selection,User Selection,x,x,,x
entity_browser.browser.mukurtu_community_and_protocol_user_browser:display_configuration:link_textSelect Members,Select Members,x,x,,x
entity_browser.browser.mukurtu_community_and_protocol_user_browser:selection_display_configuration:select_textFinished,Finished,x,x,,x
entity_browser.browser.mukurtu_community_and_protocol_user_browser:widgets:f503726d-709b-460d-9f7d-da39de306aa6:settings:submit_textAdd Users,Add Users,x,x,,x
entity_browser.browser.mukurtu_community_and_protocol_user_browser:widgets:f503726d-709b-460d-9f7d-da39de306aa6:labelSelect Users,Select Users,x,x,,x
entity_browser.browser.mukurtu_community_select:labelMukurtu Community Select,Mukurtu Community Select,x,x,,x
entity_browser.browser.mukurtu_community_select:display_configuration:link_textSelect communities,Select communities,x,x,,x
entity_browser.browser.mukurtu_community_select:widgets:71fef0fa-ad44-4fb7-a26a-b78186f51f5b:settings:submit_textAdd communities,Add communities,x,x,,x
entity_browser.browser.mukurtu_community_select:widgets:71fef0fa-ad44-4fb7-a26a-b78186f51f5b:labelSelect Communities,Select Communities,x,x,,x
entity_browser.browser.mukurtu_content_browser:labelSelect Related Content,Select Related Content,x,x,,x
entity_browser.browser.mukurtu_content_browser:display_configuration:link_textSelect Content,Select Content,x,x,,x
entity_browser.browser.mukurtu_content_browser:widgets:78cb1c23-9032-4e2f-a76b-e759c06e830d:settings:submit_textAdd Content,Add Content,x,x,,x
entity_browser.browser.mukurtu_content_browser:widgets:78cb1c23-9032-4e2f-a76b-e759c06e830d:labelSelect Content,Select Content,x,x,,x
entity_browser.browser.mukurtu_taxonomy_record_term_browser:labelSelect Taxonomy Record Terms,Select Taxonomy Record Terms,x,x,,x
entity_browser.browser.mukurtu_taxonomy_record_term_browser:display_configuration:link_textSelect Terms,Select Terms,x,x,,x
entity_browser.browser.mukurtu_taxonomy_record_term_browser:selection_display_configuration:select_textFinished,Finished,x,x,,x
entity_browser.browser.mukurtu_taxonomy_record_term_browser:widgets:7154fb62-3e71-4769-9121-b328e601b8f4:settings:submit_textAdd Terms,Add Terms,x,x,,x
entity_browser.browser.mukurtu_taxonomy_record_term_browser:widgets:7154fb62-3e71-4769-9121-b328e601b8f4:labelSelect Taxonomy Terms,Select Taxonomy Terms,x,x,,x
entity_browser.browser.multipage_item_entity_browser:labelMultipage Item Entity Browser,Multipage Item Entity Browser,x,x,,x
entity_browser.browser.multipage_item_entity_browser:display_configuration:link_textSelect entities,Select entities,x,x,,x
entity_browser.browser.multipage_item_entity_browser:widgets:a8a43640-4429-40f1-90f8-9b54163d37c0:settings:submit_textSelect entities,Select entities,x,x,,x
entity_browser.browser.multipage_item_entity_browser:widgets:a8a43640-4429-40f1-90f8-9b54163d37c0:labelview,view,,,,
extlink.settings:extlink_alert_textThis link will take you to an external web site. We are not responsible for their content.,This link will take you to an external web site. We are not responsible for their content.,x,x,x,
extlink.settings:extlink_label(link is external),(link is external),x,,,
extlink.settings:extlink_mailto_label(link sends email),(link sends email),x,,,
extlink.settings:extlink_tel_label(link is a phone number),(link is a phone number),x,,,
facets.facet.browse_by_map_category:nameCategory,Category,x,x,x,x
facets.facet.browse_by_map_category:url_aliasbrowse_by_map_category,browse_by_map_category,,,,
facets.facet.browse_by_map_category:missing_labelothers,others,x,,,x
facets.facet.browse_by_map_category:widget:config:reset_textShow all,Show all,x,x,,x
facets.facet.browse_by_map_category:widget:config:soft_limit_settings:show_less_labelShow less,Show less,x,x,,x
facets.facet.browse_by_map_category:widget:config:soft_limit_settings:show_more_labelShow more,Show more,x,x,,x
facets.facet.browse_by_map_communities:nameCommunities,Communities,x,x,x,x
facets.facet.browse_by_map_communities:url_aliasbrowse_by_map_communities,browse_by_map_communities,,,,
facets.facet.browse_by_map_communities:missing_labelothers,others,x,,,x
facets.facet.browse_by_map_communities:widget:config:reset_textShow all,Show all,x,x,,x
facets.facet.browse_by_map_communities:widget:config:soft_limit_settings:show_less_labelShow less,Show less,x,x,,x
facets.facet.browse_by_map_communities:widget:config:soft_limit_settings:show_more_labelShow more,Show more,x,x,,x
facets.facet.browse_by_map_content_type:nameContent type,Content type,x,x,x,x
facets.facet.browse_by_map_content_type:url_aliasbrowse_by_map_content_type,browse_by_map_content_type,,,,
facets.facet.browse_by_map_content_type:missing_labelothers,others,x,,,x
facets.facet.browse_by_map_content_type:widget:config:reset_textShow all,Show all,x,x,,x
facets.facet.browse_by_map_content_type:widget:config:soft_limit_settings:show_less_labelShow less,Show less,x,x,,x
facets.facet.browse_by_map_content_type:widget:config:soft_limit_settings:show_more_labelShow more,Show more,x,x,,x
facets.facet.browse_by_map_keywords:nameKeywords,Keywords,x,x,x,x
facets.facet.browse_by_map_keywords:url_aliasbrowse_by_map_keywords,browse_by_map_keywords,,,,
facets.facet.browse_by_map_keywords:missing_labelothers,others,x,,,x
facets.facet.browse_by_map_keywords:widget:config:reset_textShow all,Show all,x,x,,x
facets.facet.browse_by_map_keywords:widget:config:soft_limit_settings:show_less_labelShow less,Show less,x,x,,x
facets.facet.browse_by_map_keywords:widget:config:soft_limit_settings:show_more_labelShow more,Show more,x,x,,x
facets.facet.category:nameCategory,Category,x,x,x,x
facets.facet.category:url_aliascategory,category,,,,
facets.facet.category:missing_labelothers,others,x,,,x
facets.facet.category:widget:config:reset_textShow all,Show all,x,x,,x
facets.facet.category:widget:config:soft_limit_settings:show_less_labelShow less,Show less,x,x,,x
facets.facet.category:widget:config:soft_limit_settings:show_more_labelShow more,Show more,x,x,,x
facets.facet.category_grid_0:nameCategory Grid,Category Grid,x,x,x,x
facets.facet.category_grid_0:url_aliascategory,category,,,,
facets.facet.category_grid_0:missing_labelothers,others,x,,,x
facets.facet.category_grid_0:widget:config:reset_textShow all,Show all,x,x,,x
facets.facet.category_grid_0:widget:config:soft_limit_settings:show_less_labelShow less,Show less,x,x,,x
facets.facet.category_grid_0:widget:config:soft_limit_settings:show_more_labelShow more,Show more,x,x,,x
facets.facet.category_map_0:nameCategory Map,Category Map,x,x,x,x
facets.facet.category_map_0:url_aliascategory,category,,,,
facets.facet.category_map_0:missing_labelothers,others,x,,,x
facets.facet.category_map_0:widget:config:reset_textShow all,Show all,x,x,,x
facets.facet.category_map_0:widget:config:soft_limit_settings:show_less_labelShow less,Show less,x,x,,x
facets.facet.category_map_0:widget:config:soft_limit_settings:show_more_labelShow more,Show more,x,x,,x
facets.facet.community:nameCommunity,Community,x,x,x,x
facets.facet.community:url_aliascommunity,community,,,,
facets.facet.community:missing_labelothers,others,x,,,x
facets.facet.community:widget:config:default_option_labelCommunity,Community,x,x,x,x
facets.facet.community_content_title:nameCommunity,Community,x,x,x,x
facets.facet.community_content_title:url_aliascommunity_content_title,community_content_title,,,,
facets.facet.community_content_title:missing_labelothers,others,x,,,x
facets.facet.community_content_title:widget:config:soft_limit_settings:show_less_labelShow less,Show less,x,x,,x
facets.facet.community_content_title:widget:config:soft_limit_settings:show_more_labelShow more,Show more,x,x,,x
facets.facet.community_content_title:widget:config:reset_textShow all,Show all,x,x,,x
facets.facet.community_grid_0:nameCommunity Grid,Community Grid,x,x,x,x
facets.facet.community_grid_0:url_aliascommunity_content_title,community_content_title,,,,
facets.facet.community_grid_0:missing_labelothers,others,x,,,x
facets.facet.community_grid_0:widget:config:reset_textShow all,Show all,x,x,,x
facets.facet.community_grid_0:widget:config:soft_limit_settings:show_less_labelShow less,Show less,x,x,,x
facets.facet.community_grid_0:widget:config:soft_limit_settings:show_more_labelShow more,Show more,x,x,,x
facets.facet.community_map_0:nameCommunity Map,Community Map,x,x,x,x
facets.facet.community_map_0:url_aliascommunity_content_title,community_content_title,,,,
facets.facet.community_map_0:missing_labelothers,others,x,,,x
facets.facet.community_map_0:widget:config:reset_textShow all,Show all,x,x,,x
facets.facet.community_map_0:widget:config:soft_limit_settings:show_less_labelShow less,Show less,x,x,,x
facets.facet.community_map_0:widget:config:soft_limit_settings:show_more_labelShow more,Show more,x,x,,x
facets.facet.content_type:nameContent type,Content type,x,x,x,x
facets.facet.content_type:url_aliascontent_type,content_type,,,,
facets.facet.content_type:missing_labelothers,others,x,,,x
facets.facet.content_type:widget:config:default_option_labelContent Type,Content Type,x,x,x,x
facets.facet.content_type_browse:nameContent type,Content type,x,x,x,x
facets.facet.content_type_browse:url_aliascontent-type,content-type,,,,
facets.facet.content_type_browse:missing_labelothers,others,x,,,x
facets.facet.content_type_browse:widget:config:soft_limit_settings:show_less_labelShow less,Show less,x,x,,x
facets.facet.content_type_browse:widget:config:soft_limit_settings:show_more_labelShow more,Show more,x,x,,x
facets.facet.content_type_browse:widget:config:reset_textShow all,Show all,x,x,,x
facets.facet.content_type_grid:nameContent type Grid,Content type Grid,x,x,x,x
facets.facet.content_type_grid:url_aliascontent-type,content-type,,,,
facets.facet.content_type_grid:missing_labelothers,others,x,,,x
facets.facet.content_type_grid:widget:config:reset_textShow all,Show all,x,x,,x
facets.facet.content_type_grid:widget:config:soft_limit_settings:show_less_labelShow less,Show less,x,x,,x
facets.facet.content_type_grid:widget:config:soft_limit_settings:show_more_labelShow more,Show more,x,x,,x
facets.facet.content_type_map:nameContent type Map,Content type Map,x,x,x,x
facets.facet.content_type_map:url_aliascontent-type,content-type,,,,
facets.facet.content_type_map:missing_labelothers,others,x,,,x
facets.facet.content_type_map:widget:config:reset_textShow all,Show all,x,x,,x
facets.facet.content_type_map:widget:config:soft_limit_settings:show_less_labelShow less,Show less,x,x,,x
facets.facet.content_type_map:widget:config:soft_limit_settings:show_more_labelShow more,Show more,x,x,,x
facets.facet.cultural_protocols:nameCultural Protocols,Cultural Protocols,x,x,x,x
facets.facet.cultural_protocols:url_aliascultural_protocols,cultural_protocols,,,,
facets.facet.cultural_protocols:missing_labelothers,others,x,,,x
facets.facet.cultural_protocols:widget:config:default_option_labelCultural Protocols,Cultural Protocols,x,x,x,x
facets.facet.cultural_protocols_browse:nameCultural Protocols,Cultural Protocols,x,x,x,x
facets.facet.cultural_protocols_browse:url_aliascultural_protocols_browse,cultural_protocols_browse,,,,
facets.facet.cultural_protocols_browse:missing_labelothers,others,x,,,x
facets.facet.cultural_protocols_browse:widget:config:reset_textShow all,Show all,x,x,,x
facets.facet.cultural_protocols_browse:widget:config:soft_limit_settings:show_less_labelShow less,Show less,x,x,,x
facets.facet.cultural_protocols_browse:widget:config:soft_limit_settings:show_more_labelShow more,Show more,x,x,,x
facets.facet.cultural_protocols_dh_browse:nameCultural Protocols,Cultural Protocols,x,x,x,x
facets.facet.cultural_protocols_dh_browse:url_aliascultural_protocols_dh_browse,cultural_protocols_dh_browse,,,,
facets.facet.cultural_protocols_dh_browse:missing_labelothers,others,x,,,x
facets.facet.cultural_protocols_dh_browse:widget:config:reset_textShow all,Show all,x,x,,x
facets.facet.cultural_protocols_dh_browse:widget:config:soft_limit_settings:show_less_labelShow less,Show less,x,x,,x
facets.facet.cultural_protocols_dh_browse:widget:config:soft_limit_settings:show_more_labelShow more,Show more,x,x,,x
facets.facet.digital_heritage_browse_by_map_category:nameCategory,Category,x,x,x,x
facets.facet.digital_heritage_browse_by_map_category:url_aliasbrowse_by_map_category,browse_by_map_category,,,,
facets.facet.digital_heritage_browse_by_map_category:missing_labelothers,others,x,,,x
facets.facet.digital_heritage_browse_by_map_category:widget:config:reset_textShow all,Show all,x,x,,x
facets.facet.digital_heritage_browse_by_map_category:widget:config:soft_limit_settings:show_less_labelShow less,Show less,x,x,,x
facets.facet.digital_heritage_browse_by_map_category:widget:config:soft_limit_settings:show_more_labelShow more,Show more,x,x,,x
facets.facet.digital_heritage_browse_by_map_communities:nameCommunities,Communities,x,x,x,x
facets.facet.digital_heritage_browse_by_map_communities:url_aliasbrowse_by_map_communities,browse_by_map_communities,,,,
facets.facet.digital_heritage_browse_by_map_communities:missing_labelothers,others,x,,,x
facets.facet.digital_heritage_browse_by_map_communities:widget:config:reset_textShow all,Show all,x,x,,x
facets.facet.digital_heritage_browse_by_map_communities:widget:config:soft_limit_settings:show_less_labelShow less,Show less,x,x,,x
facets.facet.digital_heritage_browse_by_map_communities:widget:config:soft_limit_settings:show_more_labelShow more,Show more,x,x,,x
facets.facet.digital_heritage_browse_by_map_keywords:nameKeywords,Keywords,x,x,x,x
facets.facet.digital_heritage_browse_by_map_keywords:url_aliasbrowse_by_map_keywords,browse_by_map_keywords,,,,
facets.facet.digital_heritage_browse_by_map_keywords:missing_labelothers,others,x,,,x
facets.facet.digital_heritage_browse_by_map_keywords:widget:config:reset_textShow all,Show all,x,x,,x
facets.facet.digital_heritage_browse_by_map_keywords:widget:config:soft_limit_settings:show_less_labelShow less,Show less,x,x,,x
facets.facet.digital_heritage_browse_by_map_keywords:widget:config:soft_limit_settings:show_more_labelShow more,Show more,x,x,,x
